from_npi,to_npi,patient_count,transaction_count,average_day_wait,std_day_wait
1003963976,1003028770,2535,3945,0.0,0.0
1033191986,1003052697,196,300,38.877,35.767
1023019429,1003052697,42,61,25.607,40.824
1003854258,1003052697,31,55,20.436,26.403
1033246640,1003863580,58,58,45.603,56.574
1033215157,1003863580,124,126,22.833,53.329
1023223898,1003863580,1739,1872,0.169,5.185
1023195807,1003863580,271,325,40.222,70.154
1023253549,1003863580,34,53,31.887,50.676
1033103551,1003863580,120,142,35.225,61.611
1013992106,1003863580,91,134,25.634,51.423
1013983832,1003863580,103,103,0.0,0.0
1023000999,1003863580,122,180,40.467,50.007
1023019429,1003863580,116,145,37.207,54.915
1043299464,1003863580,88,97,29.546,59.832
1043281710,1003863580,86,98,43.306,43.956
1043218654,1003863580,174,231,46.883,55.259
1033452495,1003863580,57,86,20.233,43.794
1003991167,1003863580,171,232,48.466,45.112
1013064153,1003863580,70,71,19.535,47.817
1013179860,1003863580,100,106,41.736,39.401
1013233865,1003863580,62,63,40.063,65.478
1013920735,1003863580,170,199,25.337,48.164
1013386929,1003863580,157,216,33.523,50.253
1013902782,1003863580,227,540,2.126,14.062
1003202292,1003863580,73,74,23.878,26.188
1003090424,1003863580,85,121,24.091,57.305
1043326127,1003863580,52,62,47.581,51.31
1003802042,1003863580,67,71,17.296,52.964
1003801937,1003863580,40,60,33.783,61.425
1003801788,1003863580,320,557,4.434,20.541
1003813593,1003863580,70,71,44.183,66.684
1003811696,1003863580,99,102,27.245,65.958
1003815697,1003863580,110,111,23.874,59.149
1003876236,1003863580,209,291,47.01,50.542
1003847492,1003863580,1197,1365,0.095,3.492
1013184340,1003910688,168,169,21.994,61.216
1003862566,1003910688,200,202,22.767,55.213
1043232879,1003910688,53,54,47.296,82.071
1043281710,1003914201,42,51,33.941,33.132
1013958776,1003914201,62,76,49.618,56.469
1003075862,1013109511,108,354,22.073,19.142
1033191986,1013115005,116,190,40.605,48.453
1043232879,1013224617,80,83,23.048,36.056
1033482393,1023025475,85,87,0.0,0.0
1033570015,1023055126,63,72,26.722,44.023
1033532585,1023055126,152,214,40.439,59.85
1043294747,1023055126,33,56,34.214,50.209
1013179860,1023055126,95,96,32.021,37.595
1003991167,1023055126,110,151,38.113,45.857
1013064831,1023055126,99,119,49.555,65.37
1003813593,1023055126,106,106,3.406,9.345
1003802042,1023055126,104,106,3.811,5.524
1003801788,1023055126,357,708,4.859,20.795
1003090424,1023055126,130,263,1.886,8.094
1043318157,1023055126,185,211,24.616,58.009
1003031261,1023055126,73,104,30.962,44.159
1003013947,1023055126,72,148,13.128,39.718
1023343910,1023055126,320,420,0.914,6.79
1033190954,1023055126,90,137,5.285,19.063
1033191986,1023055126,224,257,38.222,55.238
1023094851,1023055126,394,403,36.772,62.285
1023103462,1023055126,1219,1831,7.478,23.595
1013973387,1023055126,61,76,33.987,54.474
1023000999,1023055126,65,92,48.641,68.938
1013992106,1023055126,110,190,14.163,39.803
1013991850,1023055126,701,729,30.72,59.587
1023099074,1023109105,16,59,15.78,18.001
1023103462,1023290251,94,131,44.557,42.72
1013179860,1033154786,58,64,35.453,52.613
1023094851,1033154786,54,54,30.519,50.291
1013973387,1033154786,48,56,41.268,55.943
1013991850,1033154786,100,100,40.29,72.824
1003910712,1033156898,22,67,12.328,28.18
1013902782,1033256425,46,57,38.754,48.936
1023253549,1033277116,41,50,38.22,51.173
