npi,entity_type_code,provider_org_name,provider_last_name,provider_first_name,provider_middle_name,provider_name_prefix,provider_name_suffix,provider_credential,provider_business_address_1,provider_business_address_2,provider_business_city,provider_business_state,primary_taxonomy,provider_business_zip5,zip,cbsa
1881697092,2,"RHS, INC.",,,,,,,1330 TROTWOOD AVE,,COLUMBIA,TN,332B00000X,38401,38401,34980
1326041534,2,MURFREESBORO CONVALESCENT SERVICE,,,,,,,4428 LASCASSAS PIKE,,MURFREESBORO,TN,341600000X,37130,37130,34980
1063415834,2,ADVANCED DIABETIC SERVICES,,,,,,,151 HERITAGE PARK DR,STE 403,MURFREESBORO,TN,332B00000X,37129,37129,34980
1538162334,2,TENNESSEE IMAGING ALLIANCE LLC,,,,,,,2628 N MOUNT JULIET RD,,MOUNT JULIET,TN,261QR0208X,37122,37122,34980
1245233220,2,"NORTHRIDGE SURGERY CENTER, LP",,,,,,,647 MYATT DR,,MADISON,TN,261QA1903X,37115,37115,34980
1659374155,2,FOLEY CLINIC CORP,,,,,,,330 FRANKLIN RD,,BRENTWOOD,TN,207Q00000X,37027,37027,34980
1609879246,2,CRESTVIEW HOSPITAL CORPORATION,,,,,,,330 FRANKLIN RD,STE 135A,BRENTWOOD,TN,207Q00000X,37027,37027,34980
1235132879,2,NORTH OKALOOSA CLINIC CORPORATION,,,,,,,330 FRANKLIN RD,,BRENTWOOD,TN,207Q00000X,37027,37027,34980
1902809544,2,MADISON CLINIC CORP,,,,,,,330 FRANKLIN RD,,BRENTWOOD,TN,207Q00000X,37027,37027,34980
1629071352,2,THERATECH INC,,,,,,,1109 MYATT BLVD,,MADISON,TN,332B00000X,37115,37115,34980
1417950122,2,WHITE COUNTY PHYSICIAN SERVICES INC,,,,,,,330 FRANKLIN RD,,BRENTWOOD,TN,207Q00000X,37027,37027,34980
1366446692,2,EUFAULA CLINIC CORP,,,,,,,330 FRANKLIN RD,#135A-315,BRENTWOOD,TN,207Q00000X,37027,37027,34980
1790788040,2,"CARIS HEALTHCARE, LP",,,,,,,242 HERITAGE PARK DR,SUITE 101 AND 102,MURFREESBORO,TN,251G00000X,37129,37129,34980
1609879956,2,"CARIS HEALTHCARE, LP",,,,,,,2525 PERIMETER PLACE DR,SUITE 131,NASHVILLE,TN,251G00000X,37214,37214,34980
1568464873,2,DICKSON MEDICAL ASSOCIATES PC,,,,,,,113 HIGHWAY 70 E,,DICKSON,TN,207Q00000X,37055,37055,34980
1487656781,2,TOOELE CLINIC CORPORATION,,,,,,,330 FRANKLIN RD #135A-304,,BRENTWOOD,TN,207Q00000X,37027,37027,34980
1265434484,2,PHILLIPS CLINIC CORPORATION,,,,,,,330 FRANKLIN ROAD #135A- 196,,BRENTWOOD,TN,207Q00000X,37027,37027,34980
1518969682,2,HOME TECHNOLOGY HEALTHCARE-TENNESSEE INC,,,,,,,402 BNA DR,STE 205,NASHVILLE,TN,251E00000X,37217,37217,34980
1972507549,2,WEST MEADE PLACE LLP,,,,,,,1000 SAINT LUKE DR,,NASHVILLE,TN,,37205,37205,34980
1194729541,2,THE CONSULTANT GROUP PC,,,,,,,4230 HARDING RD,SUITE 709,NASHVILLE,TN,174400000X,37205,37205,34980
1861496242,2,SPRINGFIELD SURGERY PC,,,,,,,322 NORTHCREST DR,,SPRINGFIELD,TN,2086S0129X,37172,37172,34980
1215932413,2,"ANESTHESIA MEDICAL GROUP, PC",,,,,,,110 29TH AVE N,STE 301,NASHVILLE,TN,207L00000X,37203,37203,34980
1780689505,2,DIALYSIS CLINIC INC,,,,,,,1616 HAYES ST,,NASHVILLE,TN,291U00000X,37203,37203,34980
1225033061,2,HOME HEALTHCARE LABORATORY OF AMERICA INC,,,,,,,320 PREMIER CT,STE 220,FRANKLIN,TN,291U00000X,37067,37067,34980
1417952268,2,DIALYSIS CLINIC INC,,,,,,,2917 FOSTER CREIGHTON DR,,NASHVILLE,TN,291U00000X,37204,37204,34980
1457357998,2,"PRESCRIPTION CHOICE, INC.",,,,,,,109 N CEDAR ST,,CROSS PLAINS,TN,332B00000X,37049,37049,34980
1205832797,2,COUNTY OF RUTHERFORD OFFICE OF BUDGET DIRECTOR,,,,,,,611 E LYTLE ST,,MURFREESBORO,TN,3416L0300X,37130,37130,34980
1639175094,2,AGILITAS USA INC,,,,,,,6688 NOLENSVILLE RD STE 112,,BRENTWOOD,TN,261QP2000X,37027,37027,34980
1043216096,2,MEDIC ONE AMBULANCE,,,,,,,1000 ELM HILL PIKE,,NASHVILLE,TN,341600000X,37210,37210,34980
1851397764,2,"NAVIGATOR HEALTH MANAGEMENT SOLUTIONS, INC.",,,,,,,1000 CORPORATE CENTRE DR,STE 100,FRANKLIN,TN,332BP3500X,37067,37067,34980
1750387635,2,"TENNESSEE ADVANCED NEURODIAGNOSTIC INSTITUTE, INC. (TANII)",,,,,,,4525 HARDING RD,STE 102,NASHVILLE,TN,261QM1200X,37205,37205,34980
1235135062,2,"SENIOR HEALTH GROUP, INC.",,,,,,,176 THOMPSON LN,SUITE G-5,NASHVILLE,TN,332B00000X,37211,37211,34980
1396741120,2,"LUNG CENTER, PC",,,,,,,1222 TROTWOOD AVE,STE 601,COLUMBIA,TN,174400000X,38401,38401,34980
