npi,entity_type_code,provider_org_name,provider_last_name,provider_first_name,provider_middle_name,provider_name_prefix,provider_name_suffix,provider_credential,provider_business_address_1,provider_business_address_2,provider_business_city,provider_business_state,provider_business_zip,taxonomy_code,provider_business_zip5
1881697092,2,"RHS, INC.",,,,,,,1330 TROTWOOD AVE,,COLUMBIA,TN,384014701,332B00000X,38401
1326041534,2,MURFREESBORO CONVALESCENT SERVICE,,,,,,,4428 LASCASSAS PIKE,,MURFREESBORO,TN,371306871,341600000X,37130
1063415834,2,ADVANCED DIABETIC SERVICES,,,,,,,151 HERITAGE PARK DR,STE 403,MURFREESBORO,TN,371290505,332B00000X,37129
1538162334,2,TENNESSEE IMAGING ALLIANCE LLC,,,,,,,2628 N MOUNT JULIET RD,,MOUNT JULIET,TN,371228015,261QR0208X,37122
1245233220,2,"NORTHRIDGE SURGERY CENTER, LP",,,,,,,647 MYATT DR,,MADISON,TN,371152125,261QA1903X,37115
1659374155,2,FOLEY CLINIC CORP,,,,,,,330 FRANKLIN RD,,BRENTWOOD,TN,370273280,207Q00000X,37027
1609879246,2,CRESTVIEW HOSPITAL CORPORATION,,,,,,,330 FRANKLIN RD,STE 135A,BRENTWOOD,TN,370273282,207Q00000X,37027
1235132879,2,NORTH OKALOOSA CLINIC CORPORATION,,,,,,,330 FRANKLIN RD,,BRENTWOOD,TN,370273280,207Q00000X,37027
1902809544,2,MADISON CLINIC CORP,,,,,,,330 FRANKLIN RD,,BRENTWOOD,TN,370273280,207Q00000X,37027
1629071352,2,THERATECH INC,,,,,,,1109 MYATT BLVD,,MADISON,TN,371152453,332B00000X,37115
1417950122,2,WHITE COUNTY PHYSICIAN SERVICES INC,,,,,,,330 FRANKLIN RD,,BRENTWOOD,TN,370273280,207Q00000X,37027
1366446692,2,EUFAULA CLINIC CORP,,,,,,,330 FRANKLIN RD,#135A-315,BRENTWOOD,TN,370273280,207Q00000X,37027
1790788040,2,"CARIS HEALTHCARE, LP",,,,,,,242 HERITAGE PARK DR,SUITE 101 AND 102,MURFREESBORO,TN,371291551,251G00000X,37129
1609879956,2,"CARIS HEALTHCARE, LP",,,,,,,2525 PERIMETER PLACE DR,SUITE 131,NASHVILLE,TN,372143674,251G00000X,37214
1568464873,2,DICKSON MEDICAL ASSOCIATES PC,,,,,,,113 HIGHWAY 70 E,,DICKSON,TN,370552080,207Q00000X,37055
1487656781,2,TOOELE CLINIC CORPORATION,,,,,,,330 FRANKLIN RD #135A-304,,BRENTWOOD,TN,370273280,207Q00000X,37027
1265434484,2,PHILLIPS CLINIC CORPORATION,,,,,,,330 FRANKLIN ROAD #135A- 196,,BRENTWOOD,TN,37027,207Q00000X,37027
1518969682,2,HOME TECHNOLOGY HEALTHCARE-TENNESSEE INC,,,,,,,402 BNA DR,STE 205,NASHVILLE,TN,37217,251E00000X,37217
1972507549,2,WEST MEADE PLACE LLP,,,,,,,1000 SAINT LUKE DR,,NASHVILLE,TN,372053588,,37205
1194729541,2,THE CONSULTANT GROUP PC,,,,,,,4230 HARDING RD,SUITE 709,NASHVILLE,TN,37205,174400000X,37205
